Data Point Number,Timestamp,Coil RMS Voltage,Sample Inlet Pressure,Sample Outlet Pressure,Sample Inlet Temperature,Sample Outlet Temperature,Sample Flowrate,Coil Inlet Temperature,Coil Outlet Temperature,Coil Frequency,Coil RMS Current,TC2,TC5,TC8
278,281.807,50.841188,6.511128,5.890357,161.683586,162.49166,40.792438,21.7,28.85,135.517335,853.936545,173.51,163.75,161.7
279,282.948,51.631852,6.515679,5.877839,161.680488,162.492102,40.793171,21.8,28.72,135.516899,832.974429,173.53,163.83,161.93
280,284.038,50.660398,6.542217,5.846138,161.680439,162.492348,40.790759,21.73,28.8,135.516121,848.515929,173.5,163.9,161.9
281,285.168,51.4969,6.510475,5.89134,161.679947,162.492299,40.550683,21.8,28.9,135.513912,836.810321,173.56,163.94,161.72
282,286.247,51.703253,6.517555,5.907889,161.672276,162.489742,40.670645,21.78,28.91,135.517894,842.294056,173.56,163.91,161.91
283,287.278,50.975625,6.538108,5.866363,161.65482,162.481923,40.550179,21.87,29.04,135.512739,849.74137,173.69,163.9,162.03
284,288.377,50.892311,6.509507,5.924091,161.641985,162.473466,40.5505,21.82,28.86,135.516299,823.161236,173.42,163.89,161.82
285,289.477,50.160828,6.521112,5.898361,161.622266,162.461418,40.677973,21.8,28.79,135.513271,837.784435,173.51,163.94,161.59
286,290.587,51.513681,6.547014,5.899775,161.597925,162.445682,40.671347,21.76,28.85,135.51413,837.374139,173.54,163.87,161.75
287,291.717,50.806458,6.504719,5.897488,161.549145,162.398672,40.791996,21.83,28.87,135.513558,843.228763,173.54,163.89,161.87
288,292.718,50.542706,6.49808,5.932061,161.529033,162.374577,40.599962,21.74,28.96,135.515944,849.741521,173.39,163.83,161.86
289,293.737,50.797456,6.52933,5.877636,161.500856,162.348761,40.672675,21.94,28.98,135.51724,838.999656,173.72,163.93,162.17
290,294.747,51.7756,6.520093,5.867456,161.471155,162.325747,40.551401,21.75,28.97,135.516421,833.044247,173.59,163.82,161.84
291,295.767,50.936924,6.548067,5.889451,161.444798,162.300865,40.550988,21.86,28.78,135.513244,850.467487,173.64,163.79,161.87
292,296.777,51.301269,6.523192,5.893711,161.423358,162.27323,40.671942,21.8,29.01,135.517731,830.173713,173.59,164.03,162.15
293,297.807,48.154867,6.513353,5.89787,161.396854,162.248987,40.479115,21.81,28.93,135.516721,804.303734,173.47,163.71,161.82
294,298.968,48.706235,6.503895,5.919941,161.348811,162.201338,40.67269,21.91,29.04,135.516217,788.697094,173.62,163.91,161.88
295,299.987,50.164099,6.49347,5.875442,161.331305,162.17498,40.672309,21.86,29.06,135.515208,839.044296,173.57,163.85,162.0
296,301.007,51.339017,6.503301,5.897649,161.305489,162.153786,40.67269,21.97,29.03,135.513421,834.710655,173.63,163.79,161.92
297,302.018,50.101207,6.521477,5.903256,161.284885,162.132543,40.600955,21.92,29.05,135.514949,828.877056,173.6,163.89,161.86
298,303.037,49.823963,6.477314,5.911692,161.264969,162.110513,40.549584,21.92,29.07,135.517021,801.532715,173.53,163.81,161.84
299,304.057,51.231983,6.522598,5.894516,161.247119,162.088779,40.549828,21.95,29.0,135.518058,838.813227,173.61,163.8,161.89
300,305.068,51.337309,6.507232,5.894135,161.226024,162.065569,40.549996,21.97,29.07,135.514253,842.822069,173.55,163.82,161.91
301,306.087,48.366997,6.493283,5.921965,161.188012,162.029721,40.723038,21.98,28.94,135.516776,797.936836,173.56,163.77,161.96
