"Temperature (degC), TC1","Temperature (degC), TC2","Temperature (degC), TC3","Temperature (degC), TC4","Temperature (degC), TC5","Temperature (degC), TC6","Temperature (degC), TC7","Temperature (degC), TC8","Temperature (degC), TC9","Temperature (degC), TC10",V_coil_rms (V)
382.9796514,211.3458156,295.10799,205.0109893,172.8410707,323.3264048,354.9517173,183.7902203,257.2376551,192.4103813,79.59409952
400.4757594,217.0250999,309.4786222,210.1158852,176.6979453,346.2531659,390.602919,189.6132256,275.3937569,199.5192177,79.37821069
404.0028279,216.2176275,307.7775847,205.2051172,173.2529882,322.1550019,364.1563863,185.6406363,263.2008308,193.5330892,79.52057692
405.7304317,217.9567258,312.4740691,208.8080522,176.2072594,341.1048419,389.8512352,189.5859125,275.5206302,198.8379181,79.38520318
383.9574925,211.0636053,297.5268501,201.9401626,173.3470988,321.3257975,367.8648144,185.6409204,263.4607928,193.7140324,79.58146494
420.5480916,222.4362395,320.7661931,213.5772651,177.0424072,349.0552556,391.9348437,190.403073,277.6489572,200.1812226,79.29596638
412.6659551,219.2711117,316.9944828,207.4639769,176.1123365,337.5003372,393.981772,190.3431506,278.1295543,198.9439342,79.37523163
427.3963165,224.8010228,325.5002534,216.4763198,178.0993661,356.8927753,398.9392887,191.7112426,281.5023779,202.0227306,79.22509047
384.4030006,212.6034201,299.077768,207.5198007,175.5185644,339.8880699,379.0360556,187.4389973,268.6199529,197.2463822,79.47777624
420.3494884,221.9112832,321.0944485,211.354348,176.8149027,345.0017696,394.4399218,190.7035919,278.881557,199.9823236,79.3135018
417.3080521,221.8090819,320.1486166,213.5579178,177.9396958,353.9163869,400.9263557,191.6708602,281.6573754,201.8279863,79.2710841
408.185946,218.0188641,311.9245225,207.8322602,174.8239478,332.6987234,377.0503082,187.7177316,269.6279922,196.3392124,79.43652946
401.5454936,216.4296749,307.5259001,207.7624975,174.4463042,331.8841882,371.3543553,186.7080718,266.4050054,195.5092916,79.46982792
403.6552208,216.4318705,309.7728948,205.2692615,174.4905861,328.2876238,378.2012433,187.7130935,269.8884066,195.9004333,79.47056501
421.6418714,220.823774,320.0047525,206.7350753,174.6978818,328.4754257,381.458316,188.6642468,272.8532137,196.4463187,79.41099843
