x,y,z
1.250000000000000000e+01,4.714285714285714413e+00,1.714285714285714191e+00
1.250000000000000000e+01,4.714285714285714413e+00,3.428571428571428381e+00
1.250000000000000000e+01,4.714285714285714413e+00,5.142857142857142350e+00
1.250000000000000000e+01,4.714285714285714413e+00,6.857142857142856762e+00
1.250000000000000000e+01,4.714285714285714413e+00,8.571428571428571175e+00
1.250000000000000000e+01,4.714285714285714413e+00,1.028571428571428470e+01
1.250000000000000000e+01,9.428571428571428825e+00,1.714285714285714191e+00
1.250000000000000000e+01,9.428571428571428825e+00,3.428571428571428381e+00
1.250000000000000000e+01,9.428571428571428825e+00,5.142857142857142350e+00
1.250000000000000000e+01,9.428571428571428825e+00,6.857142857142856762e+00
1.250000000000000000e+01,9.428571428571428825e+00,8.571428571428571175e+00
1.250000000000000000e+01,9.428571428571428825e+00,1.028571428571428470e+01
1.250000000000000000e+01,1.414285714285714235e+01,1.714285714285714191e+00
1.250000000000000000e+01,1.414285714285714235e+01,3.428571428571428381e+00
1.250000000000000000e+01,1.414285714285714235e+01,5.142857142857142350e+00
1.250000000000000000e+01,1.414285714285714235e+01,6.857142857142856762e+00
1.250000000000000000e+01,1.414285714285714235e+01,8.571428571428571175e+00
1.250000000000000000e+01,1.414285714285714235e+01,1.028571428571428470e+01
1.250000000000000000e+01,1.885714285714285765e+01,1.714285714285714191e+00
1.250000000000000000e+01,1.885714285714285765e+01,3.428571428571428381e+00
1.250000000000000000e+01,1.885714285714285765e+01,5.142857142857142350e+00
1.250000000000000000e+01,1.885714285714285765e+01,6.857142857142856762e+00
1.250000000000000000e+01,1.885714285714285765e+01,8.571428571428571175e+00
1.250000000000000000e+01,1.885714285714285765e+01,1.028571428571428470e+01
1.250000000000000000e+01,2.357142857142857295e+01,1.714285714285714191e+00
1.250000000000000000e+01,2.357142857142857295e+01,3.428571428571428381e+00
1.250000000000000000e+01,2.357142857142857295e+01,5.142857142857142350e+00
1.250000000000000000e+01,2.357142857142857295e+01,6.857142857142856762e+00
1.250000000000000000e+01,2.357142857142857295e+01,8.571428571428571175e+00
1.250000000000000000e+01,2.357142857142857295e+01,1.028571428571428470e+01
1.250000000000000000e+01,2.828571428571428470e+01,1.714285714285714191e+00
1.250000000000000000e+01,2.828571428571428470e+01,3.428571428571428381e+00
1.250000000000000000e+01,2.828571428571428470e+01,5.142857142857142350e+00
1.250000000000000000e+01,2.828571428571428470e+01,6.857142857142856762e+00
1.250000000000000000e+01,2.828571428571428470e+01,8.571428571428571175e+00
1.250000000000000000e+01,2.828571428571428470e+01,1.028571428571428470e+01
