TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,TC20,TC21,TC22,TC23,TC24,TC25,TC26,TC27,TC28,TC29,TC30,TC31,TC32,TC33,TC34,TC35,TC36
1.254781547401962598e+02,1.261539635023742534e+02,1.281057210014035945e+02,1.247349955903439849e+02,1.263830901332340773e+02,1.276030369854165372e+02,1.553827099943107442e+02,1.330767637970347437e+02,1.468102196489206790e+02,1.466812505128756925e+02,1.578546474585813826e+02,1.504683587219638525e+02,2.084792472891141983e+02,2.013957475929413476e+02,2.089836742861755852e+02,1.968993152387939745e+02,2.149994371773162811e+02,2.054044363242058182e+02,3.567139267300824486e+02,3.639369221932373080e+02,3.560926819681540678e+02,3.631048395975266203e+02,3.570501838092323510e+02,3.632907477577044233e+02,6.203247166860828656e+02,6.182066943504980827e+02,6.117821094203263783e+02,6.190270256350513591e+02,6.218956046424771102e+02,6.101701266905607781e+02,-1.903359628830739281e+00,4.264517254056640283e+00,-4.737111503171001381e+00,5.334491959839106734e+00,-6.557766544698143463e+00,-7.234223130553854020e+00
1.273056536966369805e+02,1.325633023335417988e+02,1.312995494542588517e+02,1.252999352593923561e+02,1.362107302197910315e+02,1.346011379443471299e+02,1.458594001071269020e+02,1.443584030827207130e+02,1.523726493906345070e+02,1.497910083660869986e+02,1.504245607911125546e+02,1.485662099760683077e+02,2.117234520268332290e+02,2.029906632957647332e+02,2.081406932927325499e+02,2.173938100413817835e+02,2.029528592990857021e+02,2.030593888833284666e+02,3.642994765808068678e+02,3.562946007544571216e+02,3.750937713433019098e+02,3.674986558194972304e+02,3.619077275427224549e+02,3.625025413085127752e+02,6.252025657872450211e+02,6.054419079583567509e+02,6.088616702418257773e+02,6.150329779745022734e+02,6.203909672645000910e+02,6.133750333727958832e+02,5.885342662119652068e+00,-7.933183600674575509e+00,-6.396051553185428062e+00,-3.016546339716584590e+00,5.671493015425643769e+00,-6.749311785554705345e+00
1.273662033017510140e+02,1.310746560293987955e+02,1.219577568120968749e+02,1.381767870436734427e+02,1.353253619673832020e+02,1.316593873580392824e+02,1.433048017363276472e+02,1.485209923217603603e+02,1.536764201724194550e+02,1.470196136577128811e+02,1.525818618092872043e+02,1.601134765795583235e+02,2.001387330410357208e+02,2.178939890716512480e+02,2.214438628503587552e+02,2.133205129833673936e+02,2.116829464432096586e+02,2.095314626049791400e+02,3.641865103412832241e+02,3.465768177274653112e+02,3.613968278410305857e+02,3.619805922732815588e+02,3.667526965006334763e+02,3.608992290433716335e+02,6.250168312726659678e+02,6.106569092981649192e+02,6.249119428709915383e+02,6.223050280808594152e+02,6.143239339485110122e+02,6.137080886900298538e+02,1.015635033713909952e+00,2.088603319739186670e+00,-2.311331971145891839e-01,2.564789757129766201e+00,6.575577709883321909e+00,-1.441139248659281780e+00
1.452882434127014051e+02,1.233977224625131868e+02,1.350676134703923310e+02,1.322338438135203944e+02,1.256958517360565821e+02,1.273633529348101376e+02,1.516437110266470540e+02,1.533992503460510193e+02,1.610998975437236425e+02,1.378714801347078094e+02,1.430061427738552311e+02,1.482518768556621751e+02,2.072896838194257327e+02,2.170536807856555868e+02,1.976279283039055770e+02,2.048271209007946254e+02,2.066055452967517567e+02,2.120953254295766612e+02,3.538620525302630426e+02,3.517285081354789327e+02,3.503464017850431560e+02,3.572731418950185116e+02,3.668621148720115457e+02,3.656982396202787413e+02,6.138227068720611896e+02,6.155695805231823670e+02,6.259908147552082482e+02,6.270937457840831257e+02,6.185978232043606795e+02,6.235276996191565786e+02,-5.827750385178094739e+00,8.009481070266160074e+00,-2.346741501442210609e+00,-4.633603955485043890e+00,-3.605150539397394827e+00,3.832850669354919138e+00
1.392038392365409152e+02,1.328338255509791850e+02,1.283143989017162596e+02,1.350634676428023226e+02,1.252950663599453094e+02,1.341637922896219663e+02,1.517159290589196701e+02,1.415178444804706999e+02,1.531067829031477174e+02,1.376843733166039669e+02,1.452924628228967947e+02,1.563128003501216483e+02,2.123232355980447039e+02,2.077846380850015748e+02,2.123965635423739400e+02,2.014042473332202121e+02,2.220049023867120468e+02,2.110429806512482003e+02,3.677460000812311023e+02,3.688936589979682594e+02,3.574422425508382730e+02,3.610539405479520383e+02,3.689656328888391954e+02,3.545963657637880715e+02,6.212332549110719810e+02,6.125806159820720040e+02,6.095331251504313741e+02,6.248310993579713113e+02,6.155295898662367335e+02,6.192926809969586657e+02,-7.973191036726723357e-01,-2.728097898027191270e+00,-4.675192778734468035e+00,5.675850358027268783e+00,1.178357143902100113e+01,2.374648671163106961e+00
1.255927579055230581e+02,1.348584368252762715e+02,1.243667611825180757e+02,1.397350785232447947e+02,1.190887053946528624e+02,1.236821575937517110e+02,1.534895751875403107e+02,1.447559103610398097e+02,1.462542836720475634e+02,1.594154128833551169e+02,1.524216822107687506e+02,1.481662344109881531e+02,2.077467625815081362e+02,2.084085299715324311e+02,2.113367458757057875e+02,2.100647886634150154e+02,2.004711826078088279e+02,2.113509170620577891e+02,3.585149809207244402e+02,3.616200394449001578e+02,3.573978671361501824e+02,3.726341041747983809e+02,3.705252047907079600e+02,3.637268073796267345e+02,6.236520964863289009e+02,6.230082614640899692e+02,6.210783720861676329e+02,6.236463569120013517e+02,6.232167574153905889e+02,6.302892502902119531e+02,6.115073395864730088e+00,5.395324215913307242e+00,1.654536319786927834e-01,-1.434084409299301033e+00,4.706001734649439605e+00,4.084667283777237756e+00
1.380431462018517550e+02,1.235483772459809870e+02,1.421848763122495996e+02,1.360469110945951172e+02,1.272392313869315501e+02,1.322177360051202299e+02,1.492447070653860237e+02,1.520382637385503131e+02,1.500004299420062921e+02,1.560905534873797933e+02,1.464628676301802273e+02,1.493904004854796312e+02,2.187514994418550600e+02,2.089964569532528742e+02,2.101464807082660400e+02,2.035015190206344187e+02,2.093678841233624439e+02,2.125977291378278267e+02,3.590321965135007645e+02,3.657271149628514877e+02,3.732176852150645914e+02,3.536608962240069332e+02,3.482211642366859792e+02,3.641284498393620197e+02,6.144789466900973594e+02,6.248801354030425728e+02,6.201847544214737127e+02,6.282092452077815778e+02,6.144207040364733530e+02,6.149816675020040293e+02,-8.337575763159595255e+00,5.791381016180585206e+00,1.273195487604455778e+00,3.904790633787349030e+00,-4.711619741419676544e+00,6.912520710784941791e+00
1.327452369060051467e+02,1.302871441067518390e+02,1.239190783281360808e+02,1.318000355373588093e+02,1.244709211537412301e+02,1.140550835570203674e+02,1.495667569159650441e+02,1.512913902676926341e+02,1.582986688621845985e+02,1.522918725756254616e+02,1.502377088110020509e+02,1.483496510504546109e+02,2.110441652192676258e+02,2.132232489311235213e+02,2.092530348760223831e+02,2.077559705590271051e+02,2.031224918052587896e+02,2.039756305714319069e+02,3.608231393554844431e+02,3.554095901444919150e+02,3.578323145805447325e+02,3.649231136647526910e+02,3.614687683729925425e+02,3.597901503666286089e+02,6.238564477786637781e+02,6.111399570515731057e+02,6.160954475417493086e+02,6.342378984051855468e+02,6.216642334175149927e+02,6.193547920499837574e+02,-7.960492446362771979e+00,3.663603114866144317e+00,-5.253745776486510088e+00,2.934904856261075778e-01,-1.557212437309714304e+01,-4.315971078150023565e+00
1.288886486592485028e+02,1.382573909062409712e+02,1.273860971893517018e+02,1.368956305034232059e+02,1.234803762841333992e+02,1.294742231223095246e+02,1.497408854467804247e+02,1.555620260309470382e+02,1.544932745434667254e+02,1.434298397490759385e+02,1.437465693545395595e+02,1.450007194355380307e+02,1.999506810702119708e+02,2.218426626454541122e+02,2.012643387205920362e+02,2.096560563035345126e+02,2.088418075327805639e+02,1.974667449595720257e+02,3.660271965931066802e+02,3.574319102787920883e+02,3.627246507112117229e+02,3.552046050584496584e+02,3.560765086948443354e+02,3.550866816628169431e+02,6.173792268154152225e+02,6.224815058461413173e+02,6.230908294984000122e+02,6.200132032095451677e+02,6.267288353876206202e+02,6.199442206044031991e+02,-5.266682726285877081e+00,-6.465049182164435138e-01,2.027818423240346668e+00,1.101613386347942125e+01,1.101033517930082084e+00,-6.927410515462642415e+00
1.186895041492756633e+02,1.279395098025560173e+02,1.300096572515979858e+02,1.367878392773556584e+02,1.236763048100817741e+02,1.341926777165923568e+02,1.465590050887946063e+02,1.617786637658446978e+02,1.402945528460843718e+02,1.385101387517935905e+02,1.528681303763843857e+02,1.475219525194579546e+02,2.099216128507470387e+02,2.181783820195821022e+02,2.164027332487488877e+02,1.908969765775159431e+02,2.142522384759259353e+02,2.093391310307414983e+02,3.598881575616653663e+02,3.699292548356090720e+02,3.619781503776610521e+02,3.624254783805232591e+02,3.504307822656119811e+02,3.565148863267352226e+02,6.055329270203604892e+02,6.241185467173208963e+02,6.244995054873186291e+02,6.155723188428294179e+02,6.205878515452585589e+02,6.150598595263135167e+02,8.294860089635939460e+00,8.592172775411405894e+00,-1.273024471337785712e+01,4.954156424401110037e+00,-6.969547105954773336e+00,-3.791330982078146228e+00
